Month,Title,Score1,Score2,From,Attendee
Jan,그레이스,모리어티,4.3,캐나다,4
Feb,흑사관살인사건,레스트레이드,1.0,일본,7
Mar,나쁜아이들,셜록,3.4,중국,7
Apr,IQ,셜록,3.3,미국,4
May,염매처럼신들리는것,모리어티,4.3,일본,6
Jun,이누가미일족,모리어티,4.8,일본,5
Jul,네번째원숭이,셜록,3.5,미국,5
Aug,샘호손박사의불가능사건집,셜록,3.6,미국,7
Sep,식스웨이크,셜록,3.7,미국,7
Oct,마술피리,모리어티,4.6,홍콩,7
Nov,웃어라샤일록,셜록,3.3,일본,8
Dec,46번째밀실,셜록,3.3,일본,7
